fullName,department,position_title,years_of_experience,salary,hire_date,employee_status,position,performance_rating
Theresina Stapells,Services,Data Coordinator,11,80091.89,1/21/2020,active,Senior Management,1.1
Sophie Victor,Training,Systems Administrator I,18,56353.63,6/20/2020,active,Senior Management,1.9
Joyce Capelen,Human Resources,Clinical Specialist,8,108194.89,3/15/2016,active,Senior Management,3.6
Bette Sprosson,Services,Marketing Assistant,3,54958.26,8/19/2005,active,Administrative Staff,1.2
Delcine Cardon,Accounting,Budget/Accounting Analyst II,21,79227.71,8/12/2008,active,Senior Management,4.4
Adelice Kondrachenko,Business Development,Chemical Engineer,11,118774.11,10/17/2014,on leave,Professional Staff,4.8
Minna Minguet,Support,Product Engineer,14,85614.57,4/6/2014,active,Professional Staff,2.2
Freddy Sevitt,Research and Development,Programmer Analyst II,22,120627.04,6/17/2001,active,Administrative Staff,3.7
Adaline Rosencwaig,Engineering,Senior Editor,7,146226.12,9/13/2006,active,Support Staff,4.4
Tammi Featonby,Services,VP Sales,25,144537.46,4/4/2005,on leave,Middle Management,3.3
Dulcia Ambrois,Training,Product Engineer,9,115865.13,6/25/2020,active,Middle Management,3.5
Dillon Molineaux,Training,Accounting Assistant III,19,127740.45,4/16/2014,active,Support Staff,4.3
Arel Fouldes,Business Development,Product Engineer,10,64936.37,12/26/2009,active,Middle Management,4.0
Shurlocke Walewski,Legal,Office Assistant II,24,101489.2,11/10/2007,active,Administrative Staff,4.2
Nickie Farthing,Sales,Account Representative IV,26,85846.21,12/20/2009,active,Executive Level,3.7
Deb Tasker,Engineering,Research Associate,7,90278.83,6/26/2004,on leave,Support Staff,4.3
Ede Antonacci,Legal,GIS Technical Architect,7,80854.73,9/12/2007,active,Junior Management,1.0
Joya Haburne,Marketing,VP Marketing,17,145036.03,10/24/2012,active,Senior Management,4.3
Minette Cramer,Sales,Payment Adjustment Coordinator,26,102754.76,10/2/2006,active,Senior Management,2.5
Callie Iveans,Human Resources,Physical Therapy Assistant,19,71662.62,4/28/2019,active,Support Staff,1.5
Merola Allsop,Support,Geologist III,26,117129.52,9/21/2003,active,Senior Management,2.2
Karola Sindle,Accounting,Structural Engineer,30,75996.05,3/22/2001,active,Professional Staff,4.5
Morley Newlan,Sales,Safety Technician IV,29,136463.47,12/14/2014,active,Middle Management,3.5
Sonnie Harkins,Product Management,Electrical Engineer,21,77794.95,2/27/2004,active,Professional Staff,2.6
Janean Vertey,Sales,Community Outreach Specialist,29,142504.42,3/3/2020,active,Administrative Staff,2.1
Dirk Saffrin,Engineering,Sales Associate,27,113034.92,2/20/2001,on leave,Professional Staff,3.4
Merrel McClure,Research and Development,GIS Technical Architect,5,135011.95,5/11/2020,active,Executive Level,3.8
Neill Gland,Accounting,Senior Sales Associate,28,74989.45,9/19/2007,active,Support Staff,1.1
Dallas Traite,Marketing,Financial Analyst,15,56766.03,5/28/2021,active,Support Staff,1.3
Andi Staniforth,Legal,Senior Financial Analyst,16,79484.27,4/21/2016,active,Professional Staff,3.0
Laughton McArdle,Research and Development,Business Systems Development Analyst,30,146585.19,5/15/2009,active,Senior Management,1.1
Sebastian Hartil,Marketing,Legal Assistant,23,142436.08,6/10/2019,active,Support Staff,3.5
Rickard Morecomb,Sales,Design Engineer,21,117032.97,4/6/2020,active,Senior Management,1.2
Barbara-anne Bambury,Sales,Human Resources Manager,10,122956.5,11/3/2018,active,Professional Staff,1.5
Nanice Piner,Sales,Senior Quality Engineer,11,95163.25,12/29/2017,on leave,Junior Management,2.5
Sebastien Whickman,Services,GIS Technical Architect,28,120224.7,7/29/2004,active,Senior Management,3.0
Marve Fowlie,Business Development,VP Marketing,29,73781.12,8/21/2000,inactive,Support Staff,2.0
Luce Allflatt,Engineering,Registered Nurse,16,139200.66,5/12/2002,active,Senior Management,2.1
Hartwell Muzzini,Research and Development,Human Resources Assistant IV,15,143616.01,1/3/2007,active,Administrative Staff,3.4
Elvyn Scholes,Marketing,Accounting Assistant I,10,101777.06,7/9/2002,active,Support Staff,3.2
Maxy Saywood,Sales,Pharmacist,9,111686.04,7/13/2005,active,Administrative Staff,2.0
Rafaela Buckthought,Training,Software Engineer I,1,139433.01,7/13/2011,active,Support Staff,3.9
Marcela Musgrave,Sales,Operator,15,82468.09,2/28/2009,on leave,Middle Management,4.5
Noemi Simonett,Engineering,Analog Circuit Design manager,30,100762.05,2/26/2018,on leave,Senior Management,2.8
Constanta Anthonsen,Accounting,Health Coach II,15,88243.62,9/3/2017,active,Senior Management,1.4
Dietrich Philipsson,Engineering,GIS Technical Architect,22,146051.05,4/12/2017,on leave,Professional Staff,2.6
Chip Linnitt,Human Resources,Human Resources Manager,5,113606.79,12/11/2019,inactive,Junior Management,1.8
Marion Kelsow,Research and Development,Information Systems Manager,29,118664.93,11/1/2005,active,Middle Management,1.3
Albertine Crain,Engineering,Environmental Specialist,24,55288.68,11/13/2020,active,Administrative Staff,1.3
Victoria Brennan,Sales,Account Coordinator,9,140594.83,3/24/2002,inactive,Support Staff,2.6
Catlaina Pitblado,Human Resources,Legal Assistant,27,128472.77,12/7/2013,on leave,Professional Staff,4.6
Ware Greenman,Business Development,Desktop Support Technician,25,133481.98,3/3/2015,active,Junior Management,3.0
Micky Hallstone,Support,Help Desk Operator,13,102394.45,12/5/2015,on leave,Senior Management,4.2
Marcello Lakenton,Support,Human Resources Manager,24,103896.54,3/25/2020,active,Support Staff,2.9
Nertie Phizackarley,Human Resources,Developer II,12,72460.86,11/12/2004,on leave,Support Staff,4.9
Natalie Jantel,Marketing,Nuclear Power Engineer,25,140185.34,8/15/2019,on leave,Professional Staff,2.4
Jeannie Paten,Engineering,Internal Auditor,5,53775.46,6/15/2014,active,Professional Staff,4.8
Fina Molan,Training,Clinical Specialist,16,111036.94,8/31/2008,on leave,Administrative Staff,4.2
Dody Budgen,Legal,Developer III,26,71251.69,9/14/2003,active,Support Staff,4.0
Joelly Duffil,Services,Nurse,4,119956.68,9/5/2014,active,Support Staff,4.3
Phoebe Polo,Marketing,Social Worker,1,70853.2,2/13/2022,active,Professional Staff,4.7
Hewie Routley,Services,Analog Circuit Design manager,0,114275.66,9/8/2002,on leave,Middle Management,2.6
Leopold Tracey,Research and Development,Senior Cost Accountant,5,55276.46,11/9/2016,active,Support Staff,1.2
Joey Fetherston,Business Development,Senior Developer,24,123372.68,12/31/2009,active,Support Staff,4.0
Cristi Thurske,Support,GIS Technical Architect,2,93257.91,7/4/2001,on leave,Support Staff,3.0
Beaufort Smees,Accounting,Marketing Manager,22,142371.89,11/25/2011,inactive,Professional Staff,2.9
Erskine Blint,Support,Media Manager I,29,70057.13,3/23/2017,active,Professional Staff,3.9
Jocelyn Pevie,Support,Systems Administrator IV,28,78269.87,7/10/2020,active,Senior Management,2.1
Lyndy Rodson,Marketing,Chemical Engineer,16,146260.01,6/5/2010,inactive,Senior Management,3.0
Britney Papez,Research and Development,Mechanical Systems Engineer,3,67241.5,11/20/2001,active,Middle Management,1.2
Eliza Boddice,Services,Software Consultant,11,86821.6,9/18/2005,active,Professional Staff,2.8
Winny Rosencrantz,Research and Development,Director of Sales,14,139751.19,4/25/2004,active,Administrative Staff,2.7
Joseph Guenther,Services,Food Chemist,26,142206.67,12/19/2019,on leave,Middle Management,2.6
Bryana Fulep,Marketing,Automation Specialist IV,14,98866.42,6/5/2022,active,Professional Staff,2.5
Jone Paddon,Support,Nurse,6,135047.65,11/18/2001,on leave,Junior Management,3.1
Allyn Bancroft,Engineering,Internal Auditor,22,84839.35,7/28/2019,active,Support Staff,3.1
Vasili Pimmocke,Product Management,Systems Administrator I,23,126028.12,12/25/2012,active,Support Staff,1.6
Harriott Cayley,Training,Accountant I,14,76753.52,12/30/2022,active,Executive Level,4.2
Dyna Grigoriev,Human Resources,Nurse,24,94103.45,1/22/2012,active,Professional Staff,1.2
Chancey Stroobant,Research and Development,Physical Therapy Assistant,8,139315.39,12/21/2005,active,Administrative Staff,1.1
Dougy Jewks,Services,Registered Nurse,25,122925.24,5/22/2013,active,Support Staff,1.8
Tobias Bosman,Human Resources,Compensation Analyst,4,124265.88,7/22/2000,active,Professional Staff,1.8
Sofie Seefus,Human Resources,Paralegal,14,52231.63,8/6/2017,inactive,Professional Staff,1.6
Netty Penchen,Training,Product Engineer,16,106401.19,2/5/2002,active,Administrative Staff,3.5
Gary Hinken,Sales,Librarian,25,120905.59,6/28/2003,active,Support Staff,4.6
Cullie MacPhaden,Product Management,Internal Auditor,16,105853.24,10/1/2004,active,Senior Management,2.2
Cicily Livsey,Accounting,Executive Secretary,27,79484.19,12/5/2007,on leave,Professional Staff,3.0
Phillipp Dadson,Business Development,Media Manager IV,20,132714.83,11/24/2009,active,Professional Staff,3.4
Harlene Goddert.sf,Legal,Business Systems Development Analyst,26,53156.27,10/27/2018,active,Senior Management,4.2
Nico Kellart,Sales,Web Designer II,29,91279.97,2/26/2017,inactive,Administrative Staff,1.5
Duff Bonson,Training,Marketing Assistant,15,99094.41,5/20/2015,on leave,Professional Staff,4.2
Maxim Pantridge,Business Development,Geological Engineer,8,79098.37,3/6/2004,active,Professional Staff,2.4
Suzie Wyldish,Human Resources,Director of Sales,24,120133.75,9/29/2015,active,Senior Management,1.3
Flynn Olennikov,Business Development,Operator,27,148985.32,8/24/2010,active,Junior Management,4.3
Valeda Jeeks,Human Resources,Staff Accountant III,23,102707.88,1/16/2020,active,Administrative Staff,2.2
Julissa Gurwood,Services,Dental Hygienist,16,54231.77,1/18/2015,active,Support Staff,1.5
Leeland Kettle,Legal,Graphic Designer,11,77418.47,4/7/2004,on leave,Professional Staff,3.5
Portia Follan,Legal,Marketing Manager,8,52324.99,4/17/2012,active,Senior Management,2.1
Ginevra Antowski,Services,Geological Engineer,21,59483.07,11/7/2018,active,Middle Management,1.3
Remington Lord,Legal,Software Consultant,23,111526.88,7/20/2015,inactive,Professional Staff,2.9
Denys Hagerty,Legal,Account Coordinator,28,98261.75,11/12/2017,active,Support Staff,3.1
Adam Colenutt,Support,VP Marketing,21,101060.82,3/12/2016,on leave,Junior Management,2.5
Merrily Coolican,Human Resources,Business Systems Development Analyst,20,105127.77,6/22/2010,on leave,Middle Management,2.4
Max Kondratenko,Legal,Statistician I,22,132355.5,6/25/2007,active,Executive Level,1.2
Maryrose Exrol,Business Development,Programmer Analyst I,15,86066.45,6/5/2012,active,Support Staff,2.3
Reinhard Wyper,Business Development,Professor,25,74396.88,6/24/2019,active,Administrative Staff,3.7
Rozalin Lugg,Research and Development,Programmer II,28,123496.81,5/13/2009,active,Executive Level,3.0
Maurie Nanninini,Research and Development,Developer IV,24,96914.7,6/14/2004,active,Professional Staff,4.4
Elladine Hatherleigh,Sales,Account Coordinator,14,139736.66,4/18/2021,active,Professional Staff,2.2
Koralle Snalom,Marketing,Nurse Practicioner,14,146750.48,8/20/2018,active,Professional Staff,2.3
Cross Dorkins,Legal,Database Administrator III,4,72516.57,10/29/2009,active,Junior Management,3.0
Cobb DelaField,Services,Administrative Officer,16,53685.93,11/1/2015,active,Professional Staff,2.2
Gris Ivell,Services,Chief Design Engineer,19,121493.55,9/24/2003,on leave,Junior Management,1.1
Ellerey Eschalotte,Services,Help Desk Technician,25,62083.37,12/6/2019,active,Support Staff,2.7
Allene Walas,Research and Development,Teacher,15,57999.26,8/13/2007,active,Senior Management,2.8
Dennis Bratcher,Sales,Statistician I,14,85206.01,2/1/2010,inactive,Professional Staff,3.6
Thornie Apedaile,Marketing,Senior Developer,2,82138.88,5/24/2013,active,Professional Staff,4.5
Gennie Parlett,Engineering,Product Engineer,5,141105.78,12/7/2018,active,Support Staff,3.8
Violante MacClancey,Services,Help Desk Operator,16,113062.26,1/18/2000,on leave,Senior Management,3.1
Worthy Wayte,Services,Senior Quality Engineer,23,74355.07,11/26/2009,active,Middle Management,1.8
Evonne Risely,Business Development,Information Systems Manager,27,148241.61,12/18/2009,active,Executive Level,1.3
Patrizio Lacaze,Support,Help Desk Technician,17,97966.08,3/2/2005,inactive,Senior Management,3.6
Arnold Shave,Support,Research Assistant III,22,105613.46,10/9/2013,inactive,Senior Management,1.9
Hakeem Haxley,Support,Database Administrator IV,12,95024.46,4/1/2004,active,Junior Management,4.0
Barb Drains,Support,Professor,13,92813.43,8/4/2000,active,Professional Staff,3.9
Traver Seivertsen,Legal,Actuary,8,120474.63,12/6/2007,active,Administrative Staff,3.8
Harald McColm,Training,Nuclear Power Engineer,3,148925.94,5/2/2019,active,Professional Staff,2.5
Mallory Causbey,Legal,Geological Engineer,14,66796.48,10/7/2017,active,Support Staff,4.0
Drusi Clemenzo,Support,Help Desk Operator,19,67823.88,5/25/2022,active,Junior Management,1.8
Zulema Spinney,Research and Development,Software Test Engineer I,10,97978.99,4/26/2019,active,Executive Level,1.4
Gerhardt Kears,Legal,Editor,9,92022.04,11/25/2010,active,Support Staff,3.6
Mina Harman,Legal,Professor,26,133840.02,5/14/2005,on leave,Professional Staff,1.0
Carey Verrill,Research and Development,Research Assistant II,30,106444.77,7/17/2008,active,Junior Management,2.9
Jory Arniz,Product Management,Research Associate,13,98693.59,2/17/2012,inactive,Middle Management,1.5
Raddy Chimenti,Business Development,Senior Quality Engineer,0,140416.96,9/8/2010,active,Professional Staff,4.2
Milton Stather,Human Resources,Budget/Accounting Analyst I,13,103794.35,9/2/2013,active,Junior Management,2.2
Tabbie Pardi,Services,VP Sales,23,68605.6,4/4/2003,active,Professional Staff,4.3
Jasen Thing,Research and Development,Budget/Accounting Analyst IV,15,117243.57,9/8/2009,active,Support Staff,4.3
Eduardo Kerrigan,Research and Development,Sales Representative,24,64266.95,11/20/2012,active,Professional Staff,1.2
Marillin Ducket,Human Resources,Recruiter,25,57017.98,9/12/2004,on leave,Junior Management,2.9
Loella Titlow,Business Development,Nurse,8,94207.84,5/4/2008,active,Administrative Staff,3.3
Quinn Feron,Research and Development,Financial Analyst,20,87826.48,3/3/2010,active,Support Staff,2.3
Elias Lanchberry,Services,Sales Representative,14,103575.72,7/28/2015,active,Support Staff,1.1
Ody Hoff,Legal,Director of Sales,4,103725.88,5/24/2000,active,Junior Management,3.8
Konstantin Duignan,Services,Developer IV,1,65319.98,7/22/2012,active,Administrative Staff,4.0
Kev Ambrosch,Accounting,Associate Professor,4,74259.26,9/15/2015,on leave,Professional Staff,3.0
Corilla Kilmister,Sales,Senior Developer,24,81768.11,5/26/2015,active,Senior Management,3.7
Marshall Rehorek,Human Resources,Accounting Assistant III,12,60432.21,4/3/2013,active,Administrative Staff,2.7
Brigitte Kirkland,Business Development,Accountant IV,0,107954.36,7/17/2006,on leave,Executive Level,2.1
Abigale Stiegars,Support,Food Chemist,16,89120.34,2/17/2009,on leave,Support Staff,2.4
Foster Bougourd,Human Resources,Associate Professor,16,71904.81,9/9/2008,active,Executive Level,4.6
Mirelle Boost,Marketing,VP Quality Control,22,87598.72,8/20/2007,active,Professional Staff,4.2
Dominique Bosward,Human Resources,Programmer Analyst IV,13,146808.26,12/9/2020,on leave,Executive Level,4.1
Fionna Cicconettii,Research and Development,GIS Technical Architect,10,70720.05,10/9/2003,active,Senior Management,3.9
Bob Cristofalo,Business Development,Clinical Specialist,19,89368.56,12/17/2003,active,Professional Staff,1.3
Chane Bedminster,Training,Social Worker,11,55829.31,7/17/2008,active,Middle Management,3.2
Jaime Mault,Training,Pharmacist,0,65346.61,3/6/2009,active,Administrative Staff,2.2
Burt MacGlory,Accounting,Web Developer II,14,145485.99,7/8/2007,active,Professional Staff,1.5
Bordy De Nisco,Business Development,Civil Engineer,2,57337.82,2/1/2002,active,Administrative Staff,3.9
Pattie Hudleston,Support,Administrative Officer,19,58061.76,7/15/2001,inactive,Executive Level,4.3
Ravid Beek,Training,Staff Accountant II,17,140754.64,8/15/2015,active,Support Staff,4.6
Berni Pollington,Sales,Software Consultant,10,125004.75,1/11/2016,on leave,Senior Management,4.8
Jaquenetta Moiser,Marketing,Senior Developer,26,114481.38,7/14/2014,on leave,Administrative Staff,3.9
Horatius Embleton,Accounting,Senior Editor,25,82578.69,12/24/2005,active,Administrative Staff,2.0
Claudetta Smeeth,Services,VP Sales,7,93404.37,5/18/2000,active,Support Staff,2.6
Velvet Polino,Research and Development,Research Nurse,8,80601.47,9/22/2013,active,Junior Management,3.2
Berti Shugg,Engineering,Automation Specialist I,16,144458.74,3/1/2012,on leave,Senior Management,3.9
Lorin Harcase,Product Management,Professor,17,107869.91,8/13/2004,active,Professional Staff,2.3
Myranda Bagnell,Product Management,Geologist IV,18,134425.55,10/2/2000,active,Senior Management,1.7
Sansone Mashro,Human Resources,Physical Therapy Assistant,6,102574.19,3/11/2004,active,Executive Level,3.7
Corrinne Koles,Engineering,Occupational Therapist,18,76866.56,6/24/2004,on leave,Professional Staff,1.9
Dannye Andell,Legal,Media Manager III,5,136498.01,9/5/2019,active,Senior Management,3.7
Romain Ivanyushkin,Sales,Account Executive,12,86761.94,1/20/2019,active,Executive Level,1.3
Lemmie Dilloway,Engineering,Design Engineer,30,74364.6,8/29/2020,active,Middle Management,3.9
Terrence Allen,Legal,Geologist IV,5,84941.92,2/11/2009,active,Support Staff,4.9
Janis Hacquard,Human Resources,Paralegal,5,100801.18,12/7/2008,active,Support Staff,3.9
Shay Lundy,Human Resources,Office Assistant II,15,110416.29,9/1/2002,active,Professional Staff,2.7
Horatia Gunson,Marketing,Quality Control Specialist,10,134723.91,2/25/2005,active,Professional Staff,1.3
Hew Brearty,Engineering,Pharmacist,10,129343.27,12/6/2010,active,Junior Management,4.7
Vince Butterley,Sales,VP Marketing,9,119740.52,9/4/2001,active,Administrative Staff,2.7
Janeczka Sexstone,Engineering,Civil Engineer,25,148563.07,7/16/2012,active,Professional Staff,2.7
Merv Gorelli,Research and Development,Pharmacist,10,75678.96,5/3/2006,on leave,Support Staff,1.6
Zaneta Collomosse,Sales,Technical Writer,13,118669.89,5/31/2016,active,Administrative Staff,2.5
Pavlov Winskill,Support,Speech Pathologist,13,85992.7,10/10/2004,active,Administrative Staff,2.2
Lemmy Darton,Support,VP Sales,17,84988.31,1/10/2015,active,Administrative Staff,1.6
Hi Newick,Training,Design Engineer,7,81911.06,8/17/2004,active,Professional Staff,2.6
Gayelord Tall,Human Resources,Data Coordinator,21,54730.77,9/23/2004,active,Executive Level,3.0
Shirline Gribbins,Accounting,Automation Specialist IV,17,130262.24,8/16/2022,active,Executive Level,1.3
Marinna Vassay,Accounting,Director of Sales,4,139772.42,4/26/2021,active,Support Staff,2.5
Darcee Dow,Marketing,Recruiter,25,89495.65,11/8/2001,on leave,Professional Staff,1.5
Teador Mullany,Business Development,VP Accounting,12,118035.99,11/1/2007,on leave,Executive Level,4.3
Trumaine Wastie,Accounting,Geological Engineer,25,50757.95,7/12/2021,on leave,Executive Level,2.4
Lib Puddephatt,Product Management,Web Designer II,22,98527.89,3/29/2022,active,Middle Management,4.2
Farley Chimenti,Training,Tax Accountant,28,64448.63,11/2/2003,active,Professional Staff,1.3
Ninnetta Hebborn,Marketing,Editor,21,77907.17,2/19/2019,on leave,Professional Staff,2.4
Ranee Fillery,Research and Development,Safety Technician II,11,56684.07,3/17/2016,active,Senior Management,3.3
Samuel Broome,Human Resources,Product Engineer,19,141199.81,10/4/2020,on leave,Professional Staff,1.1
Bidget Tavinor,Legal,Assistant Media Planner,14,73271.32,5/20/2020,active,Support Staff,3.6
Alyss Ketchaside,Marketing,Cost Accountant,9,83542.96,1/28/2021,inactive,Middle Management,3.8
Harrison Heephy,Legal,Internal Auditor,13,112213.17,7/4/2012,active,Executive Level,2.4
Vassili Serginson,Engineering,Occupational Therapist,14,50894.81,4/1/2003,active,Professional Staff,4.6
Janella Bricknell,Engineering,Assistant Manager,15,125860.59,11/9/2002,active,Senior Management,4.9
Brantley Cometson,Sales,Design Engineer,17,104650.43,2/4/2003,active,Middle Management,4.4
Kenyon Eddisforth,Support,Food Chemist,20,101714.31,10/10/2000,active,Professional Staff,3.8
Madison Gallon,Training,Engineer III,17,70856.12,3/28/2019,active,Middle Management,3.4
Lyndsay Bourges,Accounting,Geological Engineer,26,119099.18,10/1/2009,active,Support Staff,4.3
Perceval Plane,Product Management,Director of Sales,20,62055.28,2/13/2003,inactive,Junior Management,4.5
Loree Heaviside,Legal,Statistician II,29,130870.37,6/12/2013,active,Professional Staff,4.1
Lewes Copsey,Marketing,Technical Writer,16,69554.93,11/1/2013,active,Junior Management,2.2
Micah Grimmett,Research and Development,Accountant IV,27,125375.0,5/3/2003,on leave,Senior Management,2.5
Brooke Drohan,Services,Software Test Engineer II,24,121250.95,1/27/2022,active,Junior Management,1.0
Lory Burle,Sales,General Manager,8,81541.09,4/12/2010,on leave,Professional Staff,2.6
Darline Plant,Human Resources,Web Developer IV,2,104900.95,11/13/2016,active,Administrative Staff,2.3
Hersch Brydie,Services,Staff Scientist,3,137795.23,11/20/2021,active,Professional Staff,3.3
Brit Georgius,Sales,Librarian,10,99244.96,10/14/2022,active,Administrative Staff,1.7
Minna Poutress,Business Development,Staff Scientist,27,102450.8,2/18/2020,active,Professional Staff,2.0
Marcelo Wilmot,Research and Development,Web Developer II,3,116885.78,11/17/2011,on leave,Professional Staff,3.3
Shandie Metzing,Human Resources,Human Resources Assistant IV,20,77189.23,1/13/2000,on leave,Middle Management,4.3
Tore Grenville,Product Management,Quality Engineer,10,55958.11,1/2/2001,active,Senior Management,2.4
Ronnie Burndred,Marketing,Financial Analyst,29,127867.84,1/2/2012,on leave,Senior Management,2.1
Delmar Service,Support,Media Manager I,9,125429.5,11/22/2001,active,Professional Staff,2.8
Lilllie Gethen,Services,Mechanical Systems Engineer,2,68740.3,7/30/2022,active,Senior Management,3.9
Agnella Letixier,Product Management,Software Engineer I,8,134836.85,8/26/2012,active,Professional Staff,3.9
Erma Rignold,Business Development,Senior Sales Associate,3,58071.29,10/10/2009,active,Administrative Staff,4.3
Barbaraanne Elster,Services,GIS Technical Architect,4,121305.01,11/17/2007,active,Senior Management,3.9
Cort Friberg,Training,Pharmacist,6,64981.83,8/21/2013,active,Executive Level,2.4
Lilia Teece,Legal,Budget/Accounting Analyst III,13,115232.71,1/29/2003,active,Middle Management,1.2
Adrienne Burgott,Human Resources,Computer Systems Analyst II,14,89730.64,1/28/2019,active,Professional Staff,4.2
Anya Brocklehurst,Marketing,Legal Assistant,16,90098.05,11/29/2015,active,Middle Management,1.6
Germaine Moorwood,Legal,Design Engineer,7,80028.56,8/29/2011,inactive,Senior Management,1.2
Maddie MacDermid,Human Resources,Structural Engineer,7,106816.34,9/15/2006,active,Professional Staff,2.5
Iormina Tampion,Services,Marketing Assistant,9,137080.79,1/8/2015,active,Professional Staff,2.6
Aldis Krysztofowicz,Research and Development,Operator,11,147970.12,11/12/2008,inactive,Executive Level,2.6
Alys Roskrug,Product Management,Environmental Specialist,26,100022.37,2/12/2005,active,Senior Management,3.5
Bartolemo Sawforde,Marketing,Dental Hygienist,21,116709.08,1/8/2006,active,Senior Management,1.2
Clemmie Itzhaki,Sales,Account Executive,9,76911.97,5/20/2014,active,Professional Staff,3.9
Ethe Cutridge,Sales,Staff Scientist,27,132149.6,12/14/2019,on leave,Senior Management,2.0
Xylia Beddoe,Sales,Clinical Specialist,5,102023.42,6/23/2014,active,Professional Staff,3.4
Arlana Esslemont,Support,Accountant II,14,146857.57,6/3/2004,on leave,Support Staff,3.3
Winny Roddam,Accounting,GIS Technical Architect,0,101623.88,8/20/2013,on leave,Professional Staff,1.6
Collette Paskins,Accounting,Quality Control Specialist,0,71519.66,3/17/2015,active,Support Staff,3.1
Adelina Blanchette,Product Management,GIS Technical Architect,11,112432.54,5/2/2019,active,Senior Management,4.7
Marena Tanfield,Legal,Community Outreach Specialist,18,114181.97,11/24/2005,inactive,Senior Management,1.5
Reinwald Steinham,Legal,Research Associate,14,69271.19,7/23/2010,inactive,Professional Staff,1.4
Tandie Currington,Business Development,VP Sales,14,71730.87,4/14/2003,on leave,Junior Management,4.1
Averell Hardi,Business Development,Web Designer I,15,136473.07,7/26/2014,active,Professional Staff,3.0
Nadya Winship,Accounting,Legal Assistant,26,147576.67,12/19/2017,on leave,Administrative Staff,2.1
Lillis Risbrough,Business Development,Executive Secretary,24,107528.69,8/19/2005,on leave,Junior Management,4.6
Winnah Baynham,Research and Development,Environmental Tech,15,67268.79,4/29/2005,active,Professional Staff,4.9
Faber Tarbath,Accounting,Automation Specialist IV,24,75890.75,8/25/2013,active,Support Staff,2.1
Dina Meacher,Human Resources,Senior Cost Accountant,13,147713.19,5/22/2022,active,Support Staff,4.5
Vinny Chettle,Engineering,Professor,6,66489.86,7/16/2022,active,Senior Management,1.5
Charleen Scott,Human Resources,Registered Nurse,6,120298.32,11/24/2014,active,Administrative Staff,4.1
Bay Hovenden,Product Management,Technical Writer,3,129518.63,7/14/2021,on leave,Professional Staff,4.9
Gabie Dabel,Sales,Administrative Assistant IV,1,89542.31,10/19/2014,active,Middle Management,2.2
Foss Freemantle,Engineering,Computer Systems Analyst III,18,90490.37,7/19/2017,active,Junior Management,2.7
Agnesse Baine,Accounting,Assistant Manager,7,72121.98,9/29/2005,active,Administrative Staff,2.8
Melody Livoir,Sales,Statistician IV,22,143574.56,4/24/2005,inactive,Administrative Staff,3.8
Zoe Cusick,Training,Senior Cost Accountant,15,109165.09,3/7/2018,active,Professional Staff,3.8
Livvie Dunley,Business Development,Recruiting Manager,3,127121.23,12/21/2000,active,Professional Staff,4.6
Quinta Mendoza,Business Development,Senior Sales Associate,18,101252.25,9/1/2021,active,Professional Staff,3.1
Darrin Gemlbett,Support,Operator,12,75285.94,2/19/2015,active,Administrative Staff,2.5
Muhammad Mellonby,Marketing,Project Manager,18,132480.72,5/29/2006,active,Executive Level,3.1
Ruthe Partridge,Human Resources,Software Consultant,4,84921.38,3/9/2021,on leave,Senior Management,1.3
Kim Orrow,Business Development,Technical Writer,18,141958.3,3/28/2002,on leave,Professional Staff,4.1
Carina Poulston,Sales,Actuary,9,126913.59,10/8/2014,active,Senior Management,4.2
Celina Sackey,Services,Software Test Engineer II,27,127441.25,7/21/2012,active,Executive Level,1.4
Bary Baldacco,Support,Mechanical Systems Engineer,26,121877.19,2/26/2001,active,Support Staff,3.6
Filippo Altham,Sales,Junior Executive,16,52163.02,4/21/2020,active,Senior Management,3.8
Barby Suscens,Business Development,Payment Adjustment Coordinator,14,73913.9,10/23/2010,active,Professional Staff,2.3
Rosaline Kevane,Training,Software Test Engineer III,9,101607.26,9/8/2010,inactive,Senior Management,1.2
Ursala Kingscote,Business Development,Executive Secretary,9,61024.17,12/29/2009,active,Middle Management,3.3
Dalton Speller,Accounting,Actuary,24,68701.2,3/30/2009,on leave,Executive Level,3.7
Maressa Syratt,Support,Product Engineer,15,65087.26,5/15/2012,active,Executive Level,3.3
Andrea Kighly,Business Development,Assistant Media Planner,18,116713.58,8/9/2022,active,Professional Staff,1.3
Ninette Pease,Human Resources,Sales Associate,22,69390.23,6/25/2003,on leave,Executive Level,3.8
Darsey Fookes,Marketing,Quality Control Specialist,14,149787.75,3/7/2018,active,Executive Level,2.5
Torrie Pentland,Services,Chemical Engineer,28,67201.22,2/27/2018,on leave,Senior Management,4.9
Phil Plascott,Legal,Statistician III,22,75136.6,6/28/2016,active,Junior Management,1.8
Ibbie Ruffle,Product Management,Social Worker,9,95098.26,6/22/2004,active,Support Staff,2.4
Isobel Jallin,Product Management,Senior Cost Accountant,22,130927.68,2/27/2015,active,Professional Staff,3.3
Tomasine Alessandrucci,Human Resources,Recruiting Manager,18,97713.48,5/5/2019,active,Support Staff,3.9
Job Brabyn,Human Resources,Financial Advisor,24,135374.3,11/18/2016,on leave,Senior Management,2.2
Celestine Loges,Research and Development,Graphic Designer,17,67471.54,6/8/2004,inactive,Executive Level,2.7
Alla Larkcum,Training,Paralegal,29,147238.09,12/14/2009,on leave,Professional Staff,2.1
